Keyfield|ProductId|ProductGuid|Month|Year|IdentifierId|IdentifierType|TickerSymbol|SecurityType|SecurityName|NumberOfShares|MktPrice|MarketValue|PctWeightInDecimalFmt|BaseCurrency|Country|RowHash
10666438|600072|71c20f33-956b-4a35-a1eb-19dc62d5817f|3|2007|||aapl||Apple Inc Com|24200|92.9100||0.03|||5a923d02-481d-f54c-3965-2f5e630f4899
10666439|600072|71c20f33-956b-4a35-a1eb-19dc62d5817f|3|2007|||abt||Abbott Laboratories|33600|55.8000||0.02|||a12c97a7-a3e9-f675-6afd-110c8dc77e87
10666440|600072|71c20f33-956b-4a35-a1eb-19dc62d5817f|3|2007|||aig||American Int'l Group|23100|67.2200||0.02|||9fe342c4-8424-8d93-1af1-0667f247ba95
10666441|600072|71c20f33-956b-4a35-a1eb-19dc62d5817f|3|2007|||axp||American Express Co|34400|56.4000||0.03|||d33f9dca-f516-a1e1-bb30-6a66e9bd874f
10666442|600072|71c20f33-956b-4a35-a1eb-19dc62d5817f|3|2007|||bhi||Baker Hughes Inc|16300|66.1300||0.01|||5042dc40-46de-fe24-d58e-31f0427c03da
10666443|600072|71c20f33-956b-4a35-a1eb-19dc62d5817f|3|2007|||cat||Caterpillar Inc|17400|67.0300||0.02|||8355db5c-30e8-3367-f206-943d0defde39
10666444|600072|71c20f33-956b-4a35-a1eb-19dc62d5817f|3|2007|||cl||Colgate-Palmolive Co|16100|66.7900||0.01|||fbdf1fec-c2b9-46c9-125e-22685b70cbdf
10666445|600072|71c20f33-956b-4a35-a1eb-19dc62d5817f|3|2007|||cost||Costco Wholesale Corp-New|27100|53.8400||0.02|||713dc705-32c5-4c02-7ec8-92ba5669c7d6
10666446|600072|71c20f33-956b-4a35-a1eb-19dc62d5817f|3|2007|||csco||Cisco Sys Inc Com|31200|25.5300||0.01|||6239c9f9-81b0-9762-8c18-087229425578
10666447|600072|71c20f33-956b-4a35-a1eb-19dc62d5817f|3|2007|||dna||Genentech, Inc.|23500|82.1200||0.03|||6ef58b0f-595b-daf1-734a-1c301c27a19b
